OBJECTID,Join_Count,TARGET_FID,BUILDINGST,BUILDINGCS,OFFICIALBU,OFFICIAL00,NUMABOVEGR,NUMBASEMEN,TOPHEIGHT,BASEHEIGHT,GROSSFLOOR,Address_Chinese,Address_English,Date_of_Expiry,Date_of_Issue,Lift_No,Location_ID,GeometryLongitude,GeometryLatitude,ADDRES_OF_THE_BUILDING_IN_CHN,ADDRES_OF_THE_BUILDING_IN_ENG,CORPORATION_NUM,THE_INCORPORATED_OWNERS_OF_IN_CHN,THE_INCORPORATED_OWNERS_OF_IN_ENG,GeometryLongitude_1,GeometryLatitude_1,ADDRESS_E,SEARCH1_E,OP_YEAR,AGE,NSEARCH5_E,LATITUDE,LONGITUDE,lsbg_eng,ma_hh,FacilityID,Name,FromBreak,ToBreak,Shape_Leng_1,Shape_Area_12,LIFT,MANAGEMENT,INCOME,MTR_DISTANCE,Shape_Length,Shape_Area,SDU
261695,0,261695,126455,3492822824T20050430,Dynasty Villa 11,帝景臺１１座,8,0,0,0,0,"九龍 九龍塘 延坪道 2號 至8號 帝景峰, 11 座","DYNASTY HEIGHTS, 2-8 YIN PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 11",46027,45632,1,0210064-015,114.163866,22.34450459,,,,,,,,2 YIN PING RD DYNASTY HEIGHTS DYNASTY VILLA 11,Sham Shui Po,1998,27,Residential/Composite,22.34449658,114.163859,263/21,75050,0,1.7 - 1.75,1.7,1.75,2.356777465,0.000343205,1,0,75050,1.75,90.73553997,372.0709508,0
261714,0,261714,153706,3492921558T20050430,Silver Bright Building,銀輝樓,7,0,0,0,0,九龍 深水埗 大埔道 244號 至248號 銀輝樓,"SILVER BRIGHT BUILDING, 244-248 TAI PO ROAD, SHAM SHUI PO, KOWLOON",45813,45399,1,0804347-001,114.1638768,22.33307189,九龍大埔道244-248 號及巴域街75-81 號,"244-248 Tai Po Road &75-81 Berwick Street, Kowloon",1078,銀輝樓,SILVER BRIGHT BUILDING,114.16389,22.33305,244/248 TAI PO RD SILVER BRIGHT BUILDING,Sham Shui Po,1975,50,Residential/Composite,22.33305524,114.1639087,266/26,13040,0,0.2 - 0.25,0.2,0.25,3.492879366,0.000545458,1,1,13040,0.25,79.65383618,279.9797423,0
261800,0,261800,119508,3493422694T20050430,Tropicana 5,帝景軒５座,9,0,0,0,0,"九龍 九龍塘 延坪道 2號 至8號 帝景峰, 5 座","DYNASTY HEIGHTS, 2-8 YIN PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 5",45835,45448,1,0210064-006,114.1639244,22.34333062,,,,,,,,2 YIN PING RD DYNASTY HEIGHTS TROPICANA 5,Sham Shui Po,1998,27,Residential/Composite,22.34335187,114.1639135,263/21,75050,0,1.55 - 1.6,1.55,1.6,2.312018802,0.000338347,1,0,75050,1.6,155.0761182,464.8439179,0
261839,0,261839,144174,3493620977T20050430,Sun On Building,新安樓,11,0,0,0,0,九龍 深水埗 汝州街 133號 至139號,"133-139 YU CHAU STREET, SHAM SHUI PO, KOWLOON",45962,45552,1,1102079-001,114.1639452,22.32782513,"九龍汝州街133, 133A, 135, 137, 139 及 139A號","133, 133A, 135, 137, 139 & 139A Yu Chau Street, Kowloon",5063,新安樓,SUN ON BUILDING,114.16394,22.32782,139A YU CHAU ST SUN ON BUILDING,Sham Shui Po,1967,58,Residential/Composite,22.32781214,114.163941,267/17-18,15140,0,0.3 - 0.35,0.3,0.35,3.826992578,0.000578167,1,1,15140,0.35,72.81389573,246.5831452,0
261840,0,261840,333775,3493621437T20090914,Court Regence,富匯居,18,0,71.35,0,0,九龍 深水埗 北河街 181號 至183號,"181-183 PEI HO STREET, SHAM SHUI PO, KOWLOON",45784,45406,1,0612935-001,114.1639449,22.33197919,,,,,,,,183 PEI HO ST COURT REGENCE,Sham Shui Po,2009,16,Residential/Composite,22.33197802,114.163931,266/25,17930,0,0.1 - 0.15,0.1,0.15,2.884772905,0.000384236,1,0,17930,0.15,41.98084514,90.33027892,0
261854,1,261854,146774,3493721474T20050430,Man On Building,民安大廈,11,0,0,0,0,九龍 深水埗 大埔道 79號 至85號 民安大廈,"MAN ON BUILDING, 79-85 TAI PO ROAD, SHAM SHUI PO, KOWLOON",45935,45561,1,0400947-001,114.1639545,22.33231333,"九龍大埔道79, 79A, 81, 83, 85 及 85A號","79, 79A, 81, 83, 85 & 85A Tai Po Road, Kowloon",3256,大埔道民安大廈,"MAN ON BUILDING, TAI PO ROAD",114.16395,22.33231,85A TAI PO RD MAN ON BUILDING,Sham Shui Po,1964,61,Residential/Composite,22.33230966,114.1639497,266/25,17930,0,0.1 - 0.15,0.1,0.15,2.884772905,0.000384236,1,1,17930,0.15,94.13439342,384.8154345,1
261856,0,261856,122876,3493722857T20050430,Skylodge 3,帝景居３座,13,0,0,0,0,"九龍 九龍塘 延坪道 2號 至8號 帝景峰, 3 座","DYNASTY HEIGHTS, 2-8 YIN PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 3",46095,45709,2,0210064-027,114.1639534,22.34480261,,,,,,,,8 YIN PING RD DYNASTY HEIGHTS SKYLODGE 3,Sham Shui Po,1999,26,Residential/Composite,22.34482349,114.163951,263/21,75050,0,1.85 - 1.9,1.85,1.9,2.161646668,0.000316304,1,0,75050,1.9,124.2852045,396.2718474,0
261874,2,261874,154616,3493821022T20050430, ,宇宙大廈,12,0,0,0,0,九龍 深水埗 汝州街 136號 至138號,"136-138 YU CHAU STREET, SHAM SHUI PO, KOWLOON",46076,45680,1,0900672-001,114.1639646,22.3282315,九龍石硤尾道10-12號及汝州街136-138號,"10-12 Shek Kip Mei Street &136-138 Yu Chau Street, Kowloon",2714,宇宙大廈,YU CHAU BUILDING,114.16396,22.3282,138 YU CHAU ST YU CHAU BUILDING,Sham Shui Po,1963,62,Residential/Composite,22.32820894,114.1639667,267/19-20,16970,0,0.25 - 0.3,0.25,0.3,3.655410697,0.000566436,1,1,16970,0.3,60.31836025,182.3459959,1
261885,0,261885,119599,3493922667T20050430,Tropicana 3,帝景軒３座,9,0,0,0,0,"九龍 九龍塘 延坪道 2號 至8號 帝景峰, 3 座","DYNASTY HEIGHTS, 2-8 YIN PING ROAD, KOWLOON TONG, KOWLOON, BLOCK 3",45834,45448,1,0210064-008,114.163973,22.3430868,,,,,,,,2 YIN PING RD DYNASTY HEIGHTS TROPICANA 3,Sham Shui Po,1998,27,Residential/Composite,22.34309548,114.1639787,263/21,75050,0,1.55 - 1.6,1.55,1.6,2.312018802,0.000338347,1,0,75050,1.6,174.6237294,553.8242001,0
261945,0,261945,142918,3494221120T20050430,Cheung Lee Commercial Building,長利商業大廈,0,0,0,0,0,九龍 深水埗 長沙灣道 137號 至139號,"137-139 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",45960,45565,1,1004204-001,114.1640034,22.3291165,九龍長沙灣道137-143號,"137-143 Cheung Sha Wan Road, Kowloon",1004,長利商業大廈,CHEUNG LEE COMMERCIAL BUILDING,114.164,22.32911,143 CHEUNG SHA WAN RD CHEUNG LEE COMMERCIAL BUILDING,Sham Shui Po,1976,49,Office/Commercial,22.32913576,114.1639928,267/06-08,16640,0,0.1 - 0.15,0.1,0.15,2.884772905,0.000384236,1,1,16640,0.15,77.59233494,376.0603243,0
