OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
648,11070,822,22.28446,114.21456,BO FUNG GARDEN BLOCK C,8/1/1972 0:00,0,24311.1,241.1,24552.2,28,52,23310,0.05,1,0,0,0,0,840150,816183,Eastern,*
649,13955,584,22.28896,114.19516,GOLDEN CASTLE MANSION,3/1/1972 0:00,0,7241,739.1,7980.1,23,53,31000,0.1,1,0,0,0,0,838151,816676,Eastern,*
660,12778,493,22.30165,114.1759,CREATIVE MANSION,5/1/1972 0:00,0,1658.3,187.3,1845.6,16,52,23130,0.5,1,0,0,1,0,836166,818078,Yau Tsim Mong,*
663,13467,496,22.29685,114.17072,ASHLEY MANSION,12/1/1971 0:00,0,2397.7,1954.2,4351.9,18,53,29820,0.2,1,0,0,1,0,835628,817545,Yau Tsim Mong,*
711,10920,467,22.27946,114.22607,METRO MANSION,4/1/1967 0:00,10,5895.8,448,6343.8,15,57,23780,0.3,1,0,0,1,0,841331,815623,Eastern,*
760,13621,602,22.30351,114.1729,HO ON MANSION,9/1/1973 0:00,0,6966.5,440.6,7407.1,17,51,14150,0.2,1,0,0,1,0,835857,818287,Yau Tsim Mong,*
781,11671,753,22.30351,114.1729,HO ON MANSION,9/1/1973 0:00,0,6966.5,440.6,7407.1,17,51,14150,0.2,1,0,0,1,0,835857,818287,Yau Tsim Mong,*
784,12551,588,22.28675,114.19243,FOOK LEE BUILDING,6/1/1973 0:00,0,2449.5,1896.6,4346.1,22,51,28800,0.2,1,0,0,1,0,837868,816435,Eastern,*
792,11022,753,22.30351,114.1729,HO ON MANSION,9/1/1973 0:00,0,6966.5,440.6,7407.1,17,51,14150,0.2,1,0,0,1,0,835857,818287,Yau Tsim Mong,*
806,9574,470,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
809,8196,610,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
812,11585,820,22.30266,114.17415,KWOK KWONG HOUSE,8/1/1973 0:00,0,1967.8,303.8,2271.6,12,51,23660,0.3,1,0,0,1,0,835987,818190,Yau Tsim Mong,*
832,12853,778,22.30045,114.17475,KIMLEY HOUSE,6/1/1985 0:00,34,1466.9,177.1,1644,18,39,15630,0.4,1,0,0,1,0,836050,817944,Yau Tsim Mong,*
838,21590,440,22.28496,114.19118,MAYSON GARDEN BUILDING,1/1/1973 0:00,0,13331.7,2913.2,16244.9,24,52,23660,0.2,1,0,0,0,0,837743,816232,Eastern,*
845,9511,450,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
847,8131,578,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
853,14155,592,22.28496,114.19118,MAYSON GARDEN BUILDING,1/1/1973 0:00,0,13331.7,2913.2,16244.9,24,52,23660,0.2,1,0,0,0,0,837743,816232,Eastern,*
868,9615,520,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
871,11184,532,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
874,8766,673,22.2906,114.19947,METROPOLE BUILDING - PODIUM,8/1/1974 0:00,0,93958.5,23221.3,117179.8,2,50,17500,0.1,1,2,0,1,1,838575,816868,Eastern,***
875,12804,820,22.30266,114.17415,KWOK KWONG HOUSE,8/1/1973 0:00,0,1967.8,303.8,2271.6,12,51,23660,0.3,1,0,0,1,0,835987,818190,Yau Tsim Mong,*
